# Classificação de EVIDÊNCIA por rota. Fonte única, aplicada ao `summary`
# pelo `cmd/openapidoc` — NÃO cole o marcador nos ficheiros de paths/.
#
#   ✅  chamada real com efeito confirmado por observador independente
#   🟡  resposta de sucesso real, sem forma de confirmar o efeito
#   ❌  chamada real que falhou; o erro medido está em docs/OPENAPI-EVIDENCIAS.md
#   ⬜  não executada, com o motivo dito em docs/OPENAPI-EVIDENCIAS.md
#
# Uma rota em paths/ sem linha aqui faz o gerador FALHAR: rota nova tem de
# ser classificada, e o silêncio não pode passar por aprovação.
#
# As formas CANÓNICAS herdam a marca da rota antiga que substituem: são a
# mesma implementação, servida noutro caminho, logo a prova é a mesma. As doze
# reestruturadas (com parâmetro no caminho) foram RE-MEDIDAS, porque nelas o
# adaptador de injecção é código novo entre o cliente e o manipulador — ver
# HOUSEKEEP.md F286 para a lista das doze e a medição de 2026-08-28.
#
# TRÊS COLUNAS NOVAS (F239/F282, campanha de 2026-08-28 em diante — ver
# SPEC-cobertura-evidencia-rotas.md): `data`, `observador`, `evidência`. As
# três ficam vazias até a rota ser (re)medida por esta campanha — vazio não é
# erro, é "ainda não chegou a vez". `docs/OPENAPI-EVIDENCIAS.md` é GERADO a
# partir desta tabela (`go run ./cmd/openapidoc`) — não o edite à mão.
#
#   data        AAAA-MM-DD da medição.
#   observador  um destes, curto e enumerável:
#                 segunda-rota  — GET irmão do POST/PUT/DELETE testado
#                 websocket     — evento observado em /session/ws
#                 sqlite        — leitura directa de tabela
#                 cliente       — confirmação visual (WhatsApp Web/app)
#                 protocolo     — o próprio erro/sucesso do WhatsApp já prova
#                                 (só quando não havia efeito a confirmar)
#                 motivo        — não é confirmação de efeito: é a razão de
#                                 ⬜ (não executada) ou a causa medida de ❌
#                 misto         — mais de um observador na mesma medição
#   evidência   frase curta e ESPECÍFICA — o que foi lido, que valor mudou.
#               Banida a frase-modelo "chamada real com resposta e efeito
#               confirmado por segunda leitura ou pelo cliente": se serve
#               para qualquer rota sem editar nada, não é específica.
#
# método	caminho	marca	data	observador	evidência
POST	/polls/{poll_message_id}/votes	✅	2026-08-28	cliente	votou na enquete 3EB0B83FFE5EEB99E65287 (`sender`=envia); `200 {message_id:3EB0260C6DAC4DBE16CC19}` — despachado, confirmando a semântica documentada ('200 é despacho, não contabilização'). Não apareceu em `GET /chats/history` (achado incidental, ver F347). Em web.whatsapp.com o placar da enquete permaneceu 0/0, IGUAL ao de enquetes antigas da mesma conversa — não há evidência visual de contabilização, mas o padrão histórico mostra que isto é comportamento normal do cliente Web para votos, não falha desta chamada.
POST	/chats/send/sticker	✅	2026-08-28	segunda-rota	DESTRAVADO: PNG 512x512 real (Pillow) → `200`; `GET /chats/history` trouxe o `stickerMessage` com os sete campos de descarga, `POST /chats/download/sticker` devolveu `mimetype:image/webp` e os bytes decodificam como `RIFF`…`WEBP` válido de 512×512 (verificado com PIL). Bloqueado até aqui por `ffmpeg` local sem o encoder `libwebp` (Homebrew `ffmpeg` não inclui; precisou `ffmpeg-full`, 47 dependências, link manual) — não era falta de fixture nem defeito da rota. Achado F279 (causa original) fechado por F357 (fix de ambiente).
POST	/chats/send/template	✅	2026-08-28	misto	`200 {message_id:3EB0AF130A18AED968ED73}`; confirmado por `GET /chats/history` (type=template, texto 'Fase 3 F239/F282: teste de modelo') e, em web.whatsapp.com, o corpo não renderiza ('Não foi possível carregar a mensagem. Use seu celular para acessá-la.') — mesma limitação do cliente Web para mensagens interativas já documentada para `/chats/send/carousel` (F240); a segunda-rota confirma que o conteúdo foi gravado corretamente apesar do Web não o desenhar.
POST	/chats/send/text	✅	2026-08-28	misto	`200 {message_id:3EB0105D6AA9CCC847729F}`; confirmado por `GET /chats/history` (type=text) e visualmente em web.whatsapp.com: balão com o texto enviado (antes da edição subsequente por `/chats/send/edit`).
POST	/chats/send/video	✅	2026-08-28	misto	`200 {message_id:3EB00BBF87884EDDF5CDFE}`; confirmado por `GET /chats/history` (type=video) e visualmente em web.whatsapp.com: player de vídeo com a legenda 'Fase 3 F239/F282: teste de video'.
PUT	/groups/{group_jid}/announce-only	✅	2026-08-28	segunda-rota	`200`; `GET /groups/{group_jid}` passou a devolver `is_announce:true`, junto com as outras 4 mudanças da mesma leva (name, topic, ephemeral, locked).
POST	/groups/create	✅	2026-08-28	misto	`200` com `jid` real e `participants` (2, dono + convidado); `POST /groups/list` passou a incluir esse `jid`, e o grupo apareceu na lista de conversas de web.whatsapp.com (sessão envia) imediatamente.
PUT	/groups/{group_jid}/ephemeral	✅	2026-08-28	segunda-rota	`{"duration":"7d"}`: `200`; `GET /groups/{group_jid}` passou a devolver `is_ephemeral:true, disappearing_timer:604800` (exatamente 7×24×3600 segundos).
GET	/groups/{group_jid}	✅	2026-08-28	misto	usado como segunda-rota de quase todas as outras rotas desta família nesta mesma ronda (name, topic, announce-only, ephemeral, locked, join-approval, participants) — cada mudança de estado foi confirmada por uma chamada a esta rota antes/depois, e o nome/tópico bateram também visualmente em web.whatsapp.com.
GET	/groups/invite-links/{invite_code}	✅	2026-08-28	segunda-rota	código do link de convite do grupo descartável: `200` com `invite_info` batendo campo a campo com `GET /groups/{group_jid}` no mesmo instante (nome, tópico, contagem de participantes) — inspeciona sem entrar, como documentado.
GET	/groups/{group_jid}/invite-link	✅	2026-08-28	segunda-rota	`200` com um `invite_link` real (`https://chat.whatsapp.com/...`); usado em seguida em `POST /groups/join` (recebe) e funcionou — o link levava mesmo ao grupo certo.
POST	/groups/join	✅	2026-08-28	segunda-rota	campo correto é `code` (não `invite_code`) — `400 missing_code` na primeira tentativa com o nome errado. Com `code` certo: `200 "Group joined successfully"`; `GET /groups/{group_jid}/join-requests` (envia) passou a listar o pedido pendente de recebe — o grupo tinha aprovação de administrador exigida, então "entrar" virou pedido, não associação direta.
POST	/groups/leave	✅	2026-08-28	misto	usado repetidamente nesta ronda para sair do grupo/comunidade descartáveis ao final; `GET /groups/{group_jid}` depois de sair (como recebe) retornou sem recebe na lista de `participants`, e web.whatsapp.com (envia) mostrou o sistema "Você saiu" na conversa.
POST	/groups/list	✅	2026-08-28	segunda-rota	usado como segunda-rota de `create` nesta mesma ronda: o grupo descartável apareceu na lista (14 grupos no total) logo após ser criado.
PUT	/groups/{group_jid}/locked	✅	2026-08-28	segunda-rota	`200`; `GET /groups/{group_jid}` passou a devolver `is_locked:true`, junto com as outras 4 mudanças da mesma leva.
PUT	/groups/{group_jid}/name	✅	2026-08-28	misto	`200`; `GET /groups/{group_jid}` passou a devolver o nome novo, e web.whatsapp.com (envia) mostrou o mesmo nome na lista de conversas.
PUT	/groups/{group_jid}/topic	✅	2026-08-28	segunda-rota	`200`; `GET /groups/{group_jid}` passou a devolver o tópico novo, na mesma leva de name/announce-only/ephemeral/locked.
POST	/groups/{group_jid}/join-requests	✅	2026-08-28	segunda-rota	medido na Fase 6 (F350), não em 2026-08-26: `recebe` pediu entrada num grupo descartável com aprovação exigida (`POST /groups/join`), `GET /groups/{group_jid}/join-requests` (envia) passou a listar exatamente o pedido de recebe, `POST .../join-requests` (approve) devolveu `200` com `participants`/`confirmed`/`reason` preenchidos (F280, corrigido nesta sessão) e a fila voltou a ficar vazia — os três estados na mesma ronda. Esta linha ficou órfã com a marca antiga por um lapso da própria campanha; a evidência já existia na linha irmã (`GET .../join-requests`).
POST	/groups/{group_jid}/participants	✅	2026-08-28	segunda-rota	`action:"remove"` tirou recebe (`participant_count` 2->1, confirmado por `GET`); `action:"add"` recolocou (1->2). Achado incidental de input: esta rota aceita número NU (`554192421234`), diferente da rota irmã de aprovação de pedidos, que exige JID completo — confirma a divergência já documentada no próprio `grupo.yaml`.
POST	/messages/star	✅	2026-08-28	cliente	`star:true` devolveu `200`, e em web.whatsapp.com surgiu o ícone de estrela ao lado do horário da mensagem; `star:false` reverteu e o ícone sumiu.
POST	/newsletters/admin-invite	✅	2026-08-28	segunda-rota	`200 {id, expiration_at}`; `POST /newsletters/admin-invite/accept` (recebe) confirmou o convite ao virar `viewer.role: admin` — o convite existia de verdade, não é despacho vazio.
POST	/newsletters/admin-invite/accept	✅	2026-08-28	segunda-rota	`200 {status:"sent"}` na sessão recebe; `POST /newsletters/info` (recebe) passou de sem papel a `viewer.role:"admin"` e `subscriber_count` foi de 0 para 1 — efeito real, não só despacho.
POST	/newsletters/admin-invite/revoke	✅	2026-08-28	motivo	`200 {status:"sent"}` ao revogar um segundo convite (envia) antes de aceite; `POST /newsletters/info` (envia) permaneceu `subscriber` depois. Evidência fraca por desenho: a documentação já avisa que não há rota que liste convites pendentes, então não dá para provar que o convite teria sido aceite se não revogado — só que a chamada não gerou erro nem promoveu ninguém.
POST	/newsletters/change-owner	✅	2026-08-28	segunda-rota	`200 {status:"sent"}`; `POST /newsletters/info` bateu exatamente com o documentado: envia (chamador) caiu de `owner` para `admin`, e recebe (alvo, já admin) subiu para `owner` — medido nas DUAS sessões.
POST	/newsletters/create	✅	2026-08-28	segunda-rota	`200` com `jid`, `invite_code` e `viewer.role:"owner"`; `GET /newsletters/list` (envia) passou a incluir esse `jid` — canal descartável criado de verdade, não um eco do pedido.
POST	/newsletters/demote	✅	2026-08-28	segunda-rota	`200 {status:"sent"}` (recebe/owner despromove envia/admin); `POST /newsletters/info` (envia) passou de `viewer.role:"admin"` para `"subscriber"`.
POST	/newsletters/follow	✅	2026-08-28	segunda-rota	`200 {status:"sent"}`; `GET /newsletters/list` (envia) voltou a incluir o `jid` do canal depois de ter sido removido por `unfollow` — efeito confirmado nos dois sentidos.
POST	/newsletters/info	✅	2026-08-28	segunda-rota	usado como SEGUNDA-ROTA de quase todas as outras 14 rotas desta família nesta mesma ronda (mute, change-owner, demote, admin-invite/accept, delete) — cada mudança de estado nelas foi confirmada por uma chamada a esta rota antes/depois. `200` sempre com os campos batendo com o estado real.
POST	/newsletters/info-invite	✅	2026-08-28	segunda-rota	campo correto é `invite` (não `invite_code`) — `400 missing_invite` na primeira tentativa com o nome errado. Com `invite` certo: `200`, metadados batendo byte a byte com `POST /newsletters/info` no mesmo canal, e `viewer: null` (mesmo sendo o dono) como a documentação avisa para esta rota.
POST	/newsletters/mark-viewed	🟡	2026-08-28	misto	INVESTIGADO A FUNDO a pedido do usuário. A entrega por WebSocket FUNCIONA — provado com o mesmo listener recebendo, em segundos, o evento `NewsletterLiveUpdate` de uma reação de `recebe` (`{"event":{"JID":"...","Messages":[]},"type":"NewsletterLiveUpdate"}`). Repetindo com `mark-viewed` em vez de `react`, no mesmo canal, mesmo listener já provado: 45s de espera, ZERO eventos. Mais forte ainda: `POST /newsletters/messages` (segunda-rota, sem WebSocket nenhum) confirmou `view_count:0` antes E depois, enquanto no MESMO objeto `reactions` mostrava a contagem real — não é problema de entrega, é o próprio contador nunca incrementando, nem por polling. Conclusão: o gap não é nosso (não é fixture, não é pré-condição, não é ambiente) — é o `view_count` do lado do WhatsApp não reagir a `mark-viewed` chamado via API, possivelmente por exigir renderização por cliente real (hipótese não confirmável sem o código deles). Não há ação humana nem de código que destrave isto nesta base.
POST	/newsletters/messages	✅	2026-08-28	segunda-rota	canal vazio devolveu `200 {messages:[]}`; depois de `POST /chats/send/text` postar no canal, passou a devolver `200` com um item cujo `message_id` e `text` batem exatamente com o que foi postado.
POST	/newsletters/mute	✅	2026-08-28	segunda-rota	`mute:false` (desmutar) mudou `POST /newsletters/info`'s `viewer.mute_state` de `"on"` para `"off"` — a transição foi o que confirmou o efeito (mutar de novo não teria mudado nada visível, já que o canal nasce mutado por padrão).
POST	/newsletters/react	✅	2026-08-28	segunda-rota	canal descartável, `recebe` reage com 👍 ao `server_id` real de uma mensagem de `envia`: `POST /newsletters/messages` (envia) passou de `reactions:[]` para `reactions:[{emoji:"👍",count:1}]`; removendo a reação (`reaction:""`) a mesma leitura voltou a `reactions:[]` — os três estados (antes/depois/removido) fecham a causalidade.
POST	/newsletters/subscribe	✅	2026-08-28	protocolo	`200 {status:"sent", duration_seconds:90}` — despacho de subscrição às atualizações ao vivo; não há efeito visível fora da janela de 90s declarada na própria resposta, e nenhuma atualização ao vivo ocorreu nesse canal descartável durante o teste, então fica como confirmação de protocolo (resposta bem formada, sem erro), não de efeito observado.
POST	/newsletters/unfollow	✅	2026-08-28	segunda-rota	`200 {status:"sent"}`; `GET /newsletters/list` (envia) deixou de incluir o `jid` do canal logo depois — confirmado também que um `admin`/`owner` NÃO pode se desinscrever (documentado): só foi possível depois do `demote` ter baixado envia a `subscriber`.
POST	/newsletters/updates	❌	2026-08-26	motivo	500 ao fim de 30,0 s — context deadline exceeded; o servidor nunca responde (F265).
POST	/users/avatar	✅	2026-08-28	segunda-rota	CORREÇÃO DE PREMISSA (F363): esta rota é LEITURA, não escrita — busca a foto de perfil de um contacto, não altera a conta chamadora; o `⬜` anterior ("proibido, alteraria o avatar da conta") vinha de uma premissa errada, não confirmada contra o código (`GetAvatarUseCase`, só leitura). Chamada com o número de `envia`: `200 {id:"214830039", url:...}` — o `id` bate exatamente com `avatar_id` de `GET /session/profile`, medido na mesma sessão. Chamada com o número de `recebe`: `403 forbidden` (foto escondida por privacidade) — comportamento documentado, confirmado ao vivo. Nenhuma conta foi alterada.
POST	/users/block	❌	2026-08-26	motivo	422 upstream_rejected; WhatsApp devolve 400 bad-request. Medido nas duas contas, PN e LID (F264).
POST	/users/check	✅	2026-08-28	segunda-rota	`{phone:["554192421234"]}` (número de `recebe`) devolveu `200`, `is_in_whatsapp:true`, `jid:554192421234@s.whatsapp.net` — bate com a sessão real e pareada de `recebe`.
POST	/users/contacts/sync	✅	2026-08-28	segunda-rota	`{mode:"if_unsynced"}` devolveu `200 {details:"contact roster sync requested"}`; `GET /users/contacts` manteve 2 chaves antes e depois — bate com o documentado (`if_unsynced` não faz nada quando a agenda já está sincronizada).
POST	/users/history/sync	✅	2026-08-28	segunda-rota	pedido com âncora numa mensagem real (`oldest_msg_id` de uma mensagem de teste enviada nesta campanha) devolveu `200` com um `details` (id do pedido) DIFERENTE do `oldest_msg_id` enviado — confirma que é um novo pedido despachado, não um eco; `GET /chats/history` manteve a mesma contagem, bate com o documentado (não há mensagens mais antigas que a âncora nesta conversa de teste).
POST	/users/info	✅	2026-08-28	misto	`{phone:["554192421234@s.whatsapp.net"]}` devolveu `200`, `lid:90937376170214@lid` e 3 `devices` — o mesmo LID que `GET /chats/list` já mostrava independentemente para a mesma conversa, e confirmado visualmente em web.whatsapp.com (contacto exibido só pelo número, sem nome — bate com `push_name`/`verified_name` vazios na resposta).
POST	/users/presence	✅	2026-08-28	protocolo	`type:available` e depois `type:unavailable` devolveram `200 {details:"Presence sent"}` cada — o efeito (ficar online/offline aos olhos de terceiros) só é visível do lado de quem OBSERVA `envia`, ou seja `recebe`, e só havia sessão Chrome logada como `envia`; a aceitação do protocolo é o observador disponível, como já documentado para presence de conversa na Fase 7 (F351).
POST	/users/presence/subscribe	✅	2026-08-28	protocolo	`{phone:"554192421234@s.whatsapp.net"}` devolveu `200 {details:"Presence subscription updated"}` — a própria documentação da rota diz que a notificação chega depois por outro canal (WebSocket/webhook) e depende de `recebe` mudar de presença por conta própria, fora do nosso controlo neste teste; a aceitação do protocolo é o observador disponível.
POST	/users/privacy	✅	2026-08-28	segunda-rota	DESTRAVADO com permissão explícita do usuário ('sim, pode fazer no envia'). `readreceipts` (estado inicial `all`) → `POST` com `value:none` devolveu `200` já com `read_receipts:none` na resposta; `GET /users/privacy` confirmou o mesmo. Revertido com `value:all` no mesmo pedido — `POST` e `GET` confirmaram a volta ao estado original. Ciclo completo, sem deixar a conta alterada.
POST	/users/status	✅	2026-08-28	segunda-rota	DESTRAVADO com permissão explícita do usuário. Recado original `"conta de testes"`; `POST {body:"Teste ao vivo — F239/F282 destrave 2026-08-28"}` devolveu `200`, e `GET /session/profile/full` (`user_info[0].status`) passou a devolver o texto novo. Revertido com `POST {body:"conta de testes"}` — `GET` confirmou a volta ao texto original.
POST	/users/unblock	❌	2026-08-26	motivo	422 upstream_rejected, idem (F264).
PUT	/communities/{community_jid}/subgroups/{group_jid}	✅	2026-08-28	segunda-rota	`200 {details:"Group linked to community successfully"}`; `GET /communities/{jid}/subgroups` confirmou — o subgrupo descartável (criado à parte, sem vínculo) passou a aparecer na lista da comunidade.
PUT	/groups/{group_jid}/photo	✅	2026-08-28	cliente	primeira tentativa com um JPEG sintético inválido (1x1) devolveu `422 upstream_rejected` — "the given data is not a valid image", erro correto do WhatsApp, não bug. Com um JPEG 200x200 real (Pillow): `200 "Group photo set successfully"`; `GET /groups/{group_jid}` não expõe campo de foto, então a confirmação foi visual: o avatar do grupo em web.whatsapp.com (sessão envia) passou a mostrar exatamente a cor vermelha enviada, com o sistema "Você mudou a imagem do grupo".
PUT	/groups/{group_jid}/settings/join-approval	✅	2026-08-28	segunda-rota	campo correto é `mode` (não `require_approval`) — a primeira tentativa com o nome errado devolveu `200` mas na prática DESLIGOU a exigência (`mode` ausente vale `false`, como a própria documentação avisa), medido por `GET /groups/{group_jid}` continuando com `is_join_approval_required:false`. Com `mode:true`: `200`, e `GET` passou a `true` — confirmado também pelo efeito de ponta a ponta: `POST /groups/join` (recebe) virou PEDIDO pendente em vez de entrada direta.
